DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Longitude,Latitude,LocQual,Source,Comments
1,A-3951,,,3760,130,-23.9,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
2,A-3953,,,3810,120,-26.1,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
3,A-3954,,,3670,110,-23.4,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
4,A-3955,,,3600,130,-24.5,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
5,A-3956,,,3600,100,-22.7,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
6,A-3957,,,4080,180,-25,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
7,A-3958,,,3790,150,-23.8,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
8,A-3959,,,3640,80,-23.6,charcoal,,30,La Muculufa,sanctuary,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
9,A-3960,,,3650,90,-22.9,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
10,A-3961,,,3690,130,-24.5,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
11,A-3962,,,3610,150,-24.2,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
12,A-3963,,,3760,200,-24.1,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
13,A-3964,,,3610,120,-25,charcoal,,30,La Muculufa,,settlement ,14.011918,37.216112,A,CalPal; Pacciarelli et al. 2015,
